period_end,org_code,org_name,nhse_region_code,nhse_region_name,ics_code,staff_group,leavers_hc,joiners_hc,denom_start_hc,denom_end_hc,leavers_fte,denom_end_fte,leaver_rate
202308,QE1,NHS Lancashire and South Cumbria ICB,Y62,North West,QE1,Nurses & health visitors,,3.0,,51.0,,46.2,
202308,QE1,NHS Lancashire and South Cumbria ICB,Y62,North West,QE1,"Support to doctors, nurses & midwives",,,,12.0,,10.53333,
202308,QF7,NHS South Yorkshire ICB,Y63,North East and Yorkshire,QF7,Nurses & health visitors,2.0,,,153.0,1.8,135.52666,0.013071895424836602
202308,QGH,NHS Herefordshire and Worcestershire ICB,Y60,Midlands,QGH,Nurses & health visitors,,5.0,,86.0,,76.18294,
202308,QGH,NHS Herefordshire and Worcestershire ICB,Y60,Midlands,QGH,"Support to doctors, nurses & midwives",,,,21.0,,19.66,
202308,QH8,NHS Mid and South Essex ICB,Y61,East of England,QH8,Nurses & health visitors,2.0,6.0,,111.0,2.0,97.94,0.018018018018018018
202308,QHG,"NHS Bedfordshire, Luton and Milton Keynes ICB",Y61,East of England,QHG,Nurses & health visitors,1.0,,,59.0,0.8,50.38001,0.01694915254237288
202308,QHG,"NHS Bedfordshire, Luton and Milton Keynes ICB",Y61,East of England,QHG,"Support to doctors, nurses & midwives",,,,2.0,,1.36,
202308,QHL,NHS Birmingham and Solihull ICB,Y60,Midlands,QHL,Nurses & health visitors,3.0,6.0,,86.0,3.0,80.08,0.03488372093023256
202308,QHM,NHS North East and North Cumbria ICB,Y63,North East and Yorkshire,QHM,Nurses & health visitors,1.0,,,74.0,0.5,60.13867,0.013513513513513514
202308,QHM,NHS North East and North Cumbria ICB,Y63,North East and Yorkshire,QHM,"Support to doctors, nurses & midwives",,,,3.0,,2.4,
202308,QJ2,NHS Derby and Derbyshire ICB,Y60,Midlands,QJ2,Nurses & health visitors,,,,19.0,,17.20667,
202308,QJG,NHS Suffolk and North East Essex ICB,Y61,East of England,QJG,Nurses & health visitors,1.0,2.0,,81.0,0.6,70.56144,0.012345679012345678
